8,1
8,2
8,3
10,1
8,4
10,2
11,1
8,5
10,3
11,2
8,6
10,4
11,3
8,7
10,5
11,4
8,8
10,6
11,5
8,9
10,7
11,6
8,10
10,8
11,7
8,11
10,9
11,8
8,12
10,10
11,9
8,13
10,11
11,10
8,14
10,12
11,11
8,15
10,13
11,12
8,16
10,14
11,13
8,17
10,15
11,14
8,18
10,16
11,15
8,19
10,17
11,16
8,20
10,18
11,17
8,21
10,19
11,18
8,22
10,20
11,19
8,23
10,21
11,20
8,24
10,22
11,21
8,25
10,23
11,22
8,26
10,24
11,23
8,27
10,25
11,24
8,28
10,26
11,25
8,29
10,27
11,26
8,30
10,28
11,27
8,31
10,29
11,28
8,32
10,30
11,29
8,33
10,31
11,30
8,34
10,32
11,31
8,35
10,33
11,32
8,36
10,34
11,33
8,37
10,35
11,34
8,38
10,36
11,35
8,39
10,37
11,36
8,40
10,38
11,37
8,41
10,39
11,38
8,42
10,40
11,39
8,43
10,41
11,40
8,44
10,42
11,41
8,45
10,43
11,42
8,46
10,44
11,43
8,47
10,45
11,44
8,48
10,46
11,45
8,49
10,47
11,46
8,50
10,48
11,47
8,51
10,49
11,48
8,52
10,50
11,49
8,53
10,51
11,50
8,54
10,52
11,51
8,55
10,53
11,52
8,56
10,54
11,53
8,57
10,55
11,54
8,58
10,56
11,55
8,59
10,57
11,56
8,60
10,58
11,57
8,61
10,59
11,58
8,62
10,60
11,59
8,63
10,61
11,60
8,64
10,62
11,61
8,65
10,63
11,62
8,66
10,64
11,63
8,67
10,65
11,64
8,68
10,66
11,65
8,69
10,67
11,66
8,70
10,68
11,67
8,71
10,69
11,68
8,72
10,70
11,69
8,73
10,71
11,70
8,74
10,72
11,71
8,75
10,73
11,72
8,76
10,74
11,73
10,75
11,74
8,78
11,75
8,79
11,76
8,80
10,78
11,77
8,81
10,79
11,78
8,82
10,80
11,79
8,83
10,81
11,80
10,82
11,81
8,85
10,83
11,82
8,86
10,84
11,83
8,87
11,84
8,88
10,86
11,85
8,89
10,87
11,86
8,90
10,88
11,87
8,91
10,89
11,88
8,92
10,90
11,89
8,93
10,91
11,90
8,94
10,92
11,91
8,95
10,93
11,92
8,96
10,94
11,93
8,97
10,95
11,94
8,98
10,96
11,95
8,99
10,97
11,96
8,100
10,98
11,97
10,99
11,98
10,100
11,99
11,100
